CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.078125 1571608179.2190
MEM 149.078125 1571608179.3190
MEM 149.078125 1571608179.4190
MEM 149.078125 1571608179.5200
MEM 149.078125 1571608179.6200
MEM 149.078125 1571608179.7210
MEM 149.078125 1571608179.8210
MEM 149.078125 1571608179.9220
MEM 149.078125 1571608180.0230
MEM 149.078125 1571608180.1230
MEM 149.078125 1571608180.2240
MEM 149.078125 1571608180.3240
MEM 149.078125 1571608180.4240
MEM 149.078125 1571608180.5250
MEM 149.078125 1571608180.6250
MEM 149.078125 1571608180.7250
MEM 149.078125 1571608180.8260
MEM 149.078125 1571608180.9260
MEM 149.078125 1571608181.0270
MEM 149.078125 1571608181.1270
MEM 149.078125 1571608181.2270
MEM 149.078125 1571608181.3280
MEM 149.078125 1571608181.4280
MEM 149.078125 1571608181.5290
MEM 149.078125 1571608181.6300
MEM 149.078125 1571608181.7310
MEM 149.078125 1571608181.8310
MEM 149.078125 1571608181.9310
MEM 149.078125 1571608182.0310
MEM 149.078125 1571608182.1320
MEM 149.078125 1571608182.2320
MEM 149.078125 1571608182.3320
MEM 149.078125 1571608182.4320
MEM 149.078125 1571608182.5330
MEM 149.078125 1571608182.6340
MEM 149.078125 1571608182.7340
MEM 149.078125 1571608182.8350
MEM 149.078125 1571608182.9350
MEM 149.078125 1571608183.0350
MEM 149.078125 1571608183.1350
MEM 149.078125 1571608183.2360
MEM 149.078125 1571608183.3360
MEM 149.078125 1571608183.4370
MEM 149.078125 1571608183.5370
MEM 149.078125 1571608183.6370
MEM 149.078125 1571608183.7380
MEM 149.078125 1571608183.8390
MEM 149.078125 1571608183.9390
MEM 149.078125 1571608184.0390
MEM 149.078125 1571608184.1400
MEM 149.078125 1571608184.2400
MEM 149.078125 1571608184.3400
MEM 149.078125 1571608184.4400
MEM 149.078125 1571608184.5410
MEM 149.078125 1571608184.6410
MEM 149.078125 1571608184.7410
MEM 149.078125 1571608184.8420
MEM 149.078125 1571608184.9420
MEM 149.078125 1571608185.0430
MEM 149.078125 1571608185.1430
MEM 149.078125 1571608185.2440
MEM 149.078125 1571608185.3440
MEM 149.078125 1571608185.4440
MEM 149.078125 1571608185.5440
MEM 149.078125 1571608185.6450
MEM 149.078125 1571608185.7450
MEM 149.078125 1571608185.8450
MEM 149.078125 1571608185.9460
MEM 149.078125 1571608186.0470
MEM 149.078125 1571608186.1480
MEM 149.078125 1571608186.2480
MEM 149.078125 1571608186.3480
MEM 149.078125 1571608186.4480
MEM 149.078125 1571608186.5490
MEM 149.078125 1571608186.6490
MEM 149.078125 1571608186.7500
MEM 149.078125 1571608186.8500
MEM 149.078125 1571608186.9500
MEM 149.078125 1571608187.0510
MEM 149.078125 1571608187.1510
MEM 149.078125 1571608187.2510
MEM 149.078125 1571608187.3520
MEM 149.078125 1571608187.4520
MEM 149.078125 1571608187.5520
MEM 149.078125 1571608187.6520
