S44,S42,S13,S12,S11,S43,S31,S33,S14,S22,S23,S21,S41,S24,S34,freq,S32
-87.33115925670037,-178.16749493888034,-177.92095134058536,-0.00028461099049451906,-89.6914192064354,-0.0003734791921898324,-177.92095133938574,-87.33115925611193,-177.92553725541538,-89.6914394544242,-178.16277951529042,-0.00028461099048583986,-177.925537252728,-178.16749493539223,-0.0003734791921898324,10000.0,-178.16277951766597
-87.32525854185917,-167.63200581971535,-167.3857269456023,-0.000284876442738726,-89.68340728163261,-0.00037373362965410577,-167.38572694407935,-87.32525853930605,-167.3903059413389,-89.68347524847951,-167.6272976485211,-0.00028487644273969033,-167.39030593974525,-167.63200581830824,-0.0003737336296531414,18329.807108324374,-167.627297651115
-87.30557625517476,-157.07688288954864,-156.8314348825573,-0.0002857619726385897,-89.65671785208025,-0.0003745835885156546,-156.8314348828976,-87.30557624034796,-156.83599191826536,-89.65694553157428,-157.07219773804968,-0.00028576197262991047,-156.83599191690587,-157.07688288816647,-0.00037458358851951204,33598.18286283781,-157.07219773795686
-86.77953580175883,-146.46930811748535,-146.22610023428612,-0.00030697622806836957,-89.03553564212751,-0.0003979777955759415,-146.22610023351365,-86.77953569749313,-146.230597614401,-89.0362507615026,-146.46468545667534,-0.000306976228072227,-146.230597614744,-146.4693081180457,-0.0003979777955585828,61584.82110660267,-146.46468545505383
-86.59486314091384,-135.88538271095572,-135.64398854149533,-0.0003154809845034832,-88.80087035162661,-0.00040655358176125645,-135.64398854142624,-86.59486226597834,-135.64840428074683,-88.80321120771576,-135.88084486930026,-0.0003154809845044475,-135.6484042804982,-135.88538271045257,-0.0004065535817602921,112883.78916846884,-135.88084486749648
-85.92793218463386,-125.68147356773994,-125.43154007267495,-0.0003469208033731657,-87.98373194246335,-0.0004390781607398786,-125.43154007093122,-85.92792618026111,-125.43602423745126,-87.99091884848379,-125.67686090726357,-0.00034692080336641513,-125.43602423559744,-125.68147356546558,-0.0004390781607466292,206913.808111479,-125.67686090952574
-84.63895823644106,-116.31552789153851,-116.03107621878561,-0.00041068273287047676,-86.54006218556191,-0.0005095704981195757,-116.03107621846738,-84.63892912014484,-116.03608035872165,-86.56063633620961,-116.31036017662962,-0.00041068273286083305,-116.03608035904593,-116.31552789179304,-0.0005095704981137895,379269.0190732254,-116.31036017726026
-82.60781262352673,-107.26420047897204,-106.92859123095268,-0.0005187598987279703,-84.56701924267216,-0.0006446230765277002,-106.9285912312535,-82.60770911090464,-106.93443412020747,-84.622455003918,-107.25813155361591,-0.0005187598987308635,-106.93443412064426,-107.264200479226,-0.0006446230765190206,695192.7961775606,-107.25813155353542
-80.20421525054846,-98.7406645275573,-98.32049943781468,-0.0006980202764728285,-82.12475984710758,-0.0008527628721034878,-98.3204994372823,-80.20391451638604,-98.32774209642747,-82.2671041756187,-98.73306934598737,-0.0006980202764795793,-98.32774209597335,-98.74066452695675,-0.0008527628721025234,1274274.985703132,-98.7330693464153
-77.99750319413579,-91.78641067952023,-91.15790599313681,-0.0010113681688186842,-79.20746738244968,-0.0011083733129024402,-91.15790599307246,-77.99670186411623,-91.16847930376912,-79.56010416142136,-91.77505817398176,-0.001011368168825435,-91.16847930366235,-91.7864106793831,-0.001108373312914978,2335721.4690901213,-91.7750581741004
