S44,S42,S13,S12,S11,S43,S31,S33,S14,S22,S23,S21,S41,S24,S34,freq,S32
-75.93445857480093,-86.54574700899946,-85.41332795606922,-0.0015305710449443506,-76.28975957151607,-0.001435878831109554,-85.41332795575974,-75.93237068764952,-85.4314978738372,-77.1869815529982,-86.52509238567333,-0.0015305710450099364,-85.43149787356438,-86.54574700868629,-0.0014358788311163054,4281332.3987193955,-86.52509238604124
-73.6812594555189,-82.3537604877935,-80.13206131308179,-0.002405718640698538,-73.95717824393702,-0.0019617161316097622,-80.13206131318917,-73.67594419757806,-80.16509302561722,-76.54413226904359,-82.31127852670816,-0.0024057186407091483,-80.16509302572246,-82.35376048792494,-0.0019617161316068687,7847599.703514607,-82.31127852655986
-70.32365227315982,-77.6703806336892,-73.730313751993,-0.004433947658365277,-71.88360127241539,-0.0031966617537811555,-73.73031375207387,-70.31164815623897,-73.78327328645591,-82.03455726915536,-77.58761043680056,-0.004433947658378784,-73.78327328651062,-77.67038063378658,-0.003196661753779226,14384498.882876629,-77.58761043667138
-64.97556418175107,-71.1975188215005,-65.54735340583005,-0.010369875492718561,-69.49314902685137,-0.00674797928294356,-65.5473534058399,-64.95391621168622,-65.61657850026896,-71.81196198395959,-71.06602001710431,-0.01036987549269539,-65.61657850027088,-71.19751882152268,-0.006747979282951282,26366508.987303555,-71.06602001707775
-57.43898144850778,-62.83178047737837,-56.09437239312588,-0.029296159354836745,-66.2639689320256,-0.017887837757856163,-56.09437239312104,-57.408653870044326,-56.172352431990085,-56.47488735442596,-62.663224925747265,-0.02929615935485997,-56.1723524319837,-62.83178047737208,-0.01788783775785133,48329302.38571752,-62.66322492574784
-48.38716992067105,-53.25032722347417,-46.05146160153383,-0.09146220249046916,-62.01554664995902,-0.054074142659623806,-46.05146160153501,-48.35180504699888,-46.13272583581011,-44.70340718026003,-53.06115442548203,-0.09146220249049741,-46.13272583580294,-53.25032722346312,-0.05407414265963157,88586679.04100832,-53.06115442547981
-38.63870166721564,-42.988432017285234,-35.855316113942095,-0.29840765403659275,-58.414926683343026,-0.17316456357662807,-35.855316113943026,-38.60198718299176,-35.935725593533995,-33.87463215894072,-42.78829586173174,-0.29840765403665465,-35.935725593531124,-42.98843201727689,-0.17316456357663987,162377673.91887176,-42.788295861735904
-28.452354218599822,-31.90939859176094,-25.796134155161635,-1.0150059641690015,-65.95187509234363,-0.5802366684314373,-25.796134155155567,-28.421652334017985,-25.86724144810266,-24.011540470119797,-31.70695285416389,-1.0150059641696465,-25.867241448097236,-31.909398591746736,-0.5802366684314455,297635144.1631313,-31.706952854178674
-18.48785555637237,-19.94286936655392,-16.713278011000927,-3.6848131761043534,-33.90786836050562,-2.0148496522570034,-16.713278011003744,-18.48754611870261,-16.74840678140477,-16.435150123657543,-19.745687166411628,-3.6848131761029324,-16.74840678140781,-19.942869366558288,-2.0148496522570314,545559478.1168514,-19.745687166407237
-10.973129631180578,-9.059513170564749,-11.448002223627615,-18.353687941879716,-14.720815371311078,-7.067198926554533,-11.448002223627826,-11.112726421439994,-11.32250116880406,-19.024929715007946,-8.874511592856127,-18.353687941879382,-11.322501168804253,-9.059513170564731,-7.067198926554554,1000000000.0,-8.87451159285606
